degree,values
24,"[0.13380521353723102, 0.13241688511283847, 0.1294087413640452, 0.13882669590272742, 0.14028352515790712, 0.1390464960417659, 0.131237189476062, 0.1345006091709374, 0.1440561697674114, 0.13719882143931655, 0.1341154623238056, 0.1308786882839614, 0.1364854176223786, 0.13692174857721212, 0.14013353247073368, 0.12922182224747075, 0.13100693126785687, 0.12838929683398276, 0.1299129406551204, 0.13214311802220666, 0.13575146229647236, 0.14568392390226337, 0.12688215045328183, 0.13267959607038193, 0.13469773438292387, 0.12582207471995135, 0.1380320219814279, 0.1342024313093077, 0.1357895355777798, 0.13758720034527036, 0.12873329419654847, 0.13743587691321382, 0.1366849446565194, 0.130992460766183, 0.13521416646819515, 0.13960798474709227, 0.1380570707243535, 0.12715255889330412, 0.13061541782694272, 0.12528147059483488, 0.13000711356201622, 0.13300338011345111, 0.13462069107102695, 0.13544878522322523, 0.13754758434543868, 0.12391914729929192, 0.12949280701254628, 0.12162376823863734, 0.13683138633005243, 0.1316262154848328, 0.12453824439756929, 0.13284244101734313, 0.1357542061434319, 0.12024711042885318, 0.13907857062017295, 0.13805219807334876, 0.1368949591870117, 0.13377297660552911, 0.13612124564629713, 0.13234624165753778, 0.13600291855234004, 0.135125313581947, 0.14037658904125583, 0.13587095776084207, 0.1414122294121281, 0.13879913937901683, 0.1285398145942045, 0.13931778688881954, 0.13437758649015216, 0.13271917340989386, 0.12445981652119881, 0.13716061707313498, 0.13428009503199495, 0.13463128166518945, 0.12875343016095211, 0.13223068080974149, 0.13245819873096343, 0.13865825293270334, 0.13599401972554462, 0.13372156939688878, 0.14072579521787817, 0.13207258845682562, 0.13678481725776032, 0.13708650348870047, 0.12748407598379202, 0.1290540478421316, 0.13184574745506825, 0.1255914710809052, 0.12927072528171368, 0.13732903125712875, 0.1325326870009831, 0.12743365932540046, 0.1365276898803726, 0.12995230968038324, 0.13988118755694942, 0.13808200933387113, 0.1379292209316484, 0.13252352869374578, 0.14162045012903, 0.13309075538427584]"
25,"[0.13373458755067083, 0.13667543547646743, 0.13127445492437653, 0.13376265769550003, 0.13922256881921544, 0.141107061142869, 0.13785730471558674, 0.13422484111392502, 0.12768330415653267, 0.13196333966781226, 0.136024583601905, 0.1388596489680375, 0.13638796379456183, 0.14163444406161374, 0.13279285684657252, 0.13098649576354388, 0.13068657554665197, 0.1351943561286382, 0.13954764189015667, 0.13825867896024716, 0.13040496413834018, 0.1346201333210408, 0.12756875583738067, 0.13891565059691663, 0.1300570726878896, 0.12651541297133334, 0.13657024876005794, 0.13882506278316184, 0.13681028265471937, 0.1313360011455445, 0.133698537788462, 0.13601127795547674, 0.13828007152784988, 0.13936478511904074, 0.12693679561911364, 0.13760805154527728, 0.12441485810663315, 0.1304769452964893, 0.1392028848091914, 0.13616179813133858, 0.12714402660825183, 0.12998694974970543, 0.1250999784271758, 0.12781406241323032, 0.12925933440434872, 0.125799823931755, 0.13462238847349453, 0.1327416314016286, 0.13770735730945932, 0.1372235047183638, 0.136595671169376, 0.14005981926958172, 0.13182100919182138, 0.1341159553797943, 0.1243437968105662, 0.13544642866223894, 0.14184798833618617, 0.13922490285140757, 0.14125201632053283, 0.13319733092699693, 0.13720107428034173, 0.13491014767844547, 0.1297383990449873, 0.13320084514496822, 0.14303548274690345, 0.13171977764960413, 0.1362321621201908, 0.1319152168434942, 0.13252058780909165, 0.12889583278952405, 0.13396525784809538, 0.13843526695027056, 0.13339416793857317, 0.1273487393044482, 0.12258601644283933, 0.1360870112642471, 0.13430050130606416, 0.13694362406912633, 0.13797493090183685, 0.13384814606411152, 0.12761188189482223, 0.13008493534480906, 0.13212342079480033, 0.12765605120751994, 0.12977965519553333, 0.12936514563332588, 0.13962282961904543, 0.1392081471254631, 0.13624113731862633, 0.12721305899048663, 0.12886083465607007, 0.13265052904886923, 0.1364484042354402, 0.1331327291416062, 0.14688786991208372, 0.13095271060852254, 0.13967702067234447, 0.13210599339552875, 0.13713145211213465, 0.1289260092663239]"
26,"[0.1361638990076045, 0.13453786434061185, 0.13731701562413134, 0.13347392960356086, 0.13819429062331073, 0.13345019116981188, 0.13831567144387052, 0.1365057071840407, 0.13426611297694616, 0.12884516081175384, 0.1329469144765844, 0.1360710269576607, 0.13388633507826675, 0.13235323470470037, 0.13258513862482985, 0.13347268490405761, 0.11868047955109354, 0.13139358194375803, 0.13433931638208757, 0.12926580436918297, 0.1248319094342443, 0.1274320985029358, 0.1419032548211533, 0.13599075567523264, 0.12605559751577566, 0.13842373100812144, 0.12753128620565327, 0.14428082245765209, 0.13433407148225007, 0.1294671170485371, 0.1333114975802251, 0.13290098075594822, 0.1323582722648273, 0.13339664089653122, 0.12818158854309716, 0.13456187237977307, 0.12823574068130014, 0.13351862430687297, 0.13351375067183976, 0.13313925447401304, 0.13352423702314165, 0.1284368127322196, 0.1387814368293168, 0.13779612768846666, 0.12584838957548503, 0.1347556900206215, 0.1385606400685916, 0.12724799743570633, 0.13083609395509868, 0.12940902234353355, 0.1394292515179967, 0.14107634506087793, 0.13292062705068466, 0.12944407736393576, 0.13471140791847425, 0.13078675062246067, 0.1355808412713381, 0.12915167543946757, 0.12763622127169966, 0.13717668192604657, 0.1284220524536544, 0.12917565271123296, 0.12926278735280058, 0.13200638160103148, 0.13566157797385583, 0.13726978080436972, 0.1276923331766314, 0.12693632372498825, 0.12596025294039936, 0.13114799587446335, 0.13871619017426465, 0.1304984602566919, 0.12350611592232527, 0.12635518135562798, 0.1396986042675238, 0.13181664432616164, 0.13746084149101956, 0.13221637403967362, 0.1347384448809824, 0.13005700380785212, 0.13884967316618468, 0.13225655297982888, 0.1310275339818432, 0.13470950340657867, 0.13498714437247294, 0.13373399170066125, 0.13423606348830694, 0.12707869119903406, 0.132215077976382, 0.13347826557227727, 0.13655846284117867, 0.13010461170926987, 0.13565975059133772, 0.1284579798049866, 0.12939315134358784, 0.1295394765608631, 0.13720198990355917, 0.1336016732434565, 0.13640890455917354, 0.1415703458789864]"
27,"[0.11966946774878764, 0.13503988692616686, 0.13878581558710476, 0.13373810363636834, 0.13375053713262386, 0.1286371322134174, 0.13043424063610384, 0.12772719730282292, 0.13134684396461715, 0.13514477944598782, 0.13570243074756466, 0.1335697474213181, 0.1262655383944773, 0.1266635749906867, 0.12947055370151705, 0.13288654328875513, 0.13196427805272953, 0.12928830773224545, 0.14225427101699964, 0.13140851223725297, 0.13338494727851144, 0.12908590220928776, 0.1403740366425247, 0.129629833828567, 0.13100002765291896, 0.13321782012445757, 0.14127450723744384, 0.12788633140296948, 0.1293820128936684, 0.1377328240333382, 0.13593143093283527, 0.12608908124950213, 0.13621409705307147, 0.13964772677727186, 0.13168902995299978, 0.1351008595547933, 0.1257844067454159, 0.12340502089071022, 0.1335105034196455, 0.12435037635027438, 0.13464957604444605, 0.12391562639652204, 0.12442425610321001, 0.1295958698970682, 0.13577521216567645, 0.1298582122058916, 0.1361368632515781, 0.1277904083117405, 0.13450741340049208, 0.12755715570568496, 0.13048942349693918, 0.13129425095742225, 0.12931857118530898, 0.13202584498581585, 0.12205391665706701, 0.1367639904203472, 0.13246183361579195, 0.13874246767332432, 0.1370519846100578, 0.13509099747613995, 0.12901177146325185, 0.12263828760016329, 0.13747780011513103, 0.13465171121897182, 0.1289520676268404, 0.12174842190076543, 0.14075005897804957, 0.1314727705169833, 0.12921892924738837, 0.12978422155856656, 0.13220204097328245, 0.12377837024268783, 0.13288790692368713, 0.12437709441520763, 0.13621438997180282, 0.13270453508846922, 0.13848141757467494, 0.1348856583230687, 0.13083930182153178, 0.1325749182473675, 0.135178547162587, 0.1359008431392135, 0.13146167058507757, 0.13555158933244799, 0.12491871247815131, 0.13188374666813066, 0.13321459448520595, 0.134202798522146, 0.13642974660588447, 0.13998212073755403, 0.13116302196277024, 0.12681620841273472, 0.12997335761761347, 0.1326827183733318, 0.13005660611710237, 0.12697247250241148, 0.13762023577675356, 0.13295362846128195, 0.13413848358897806, 0.13432906719984286]"
28,"[0.12902087683712024, 0.13339049741765746, 0.13834230664230548, 0.12908297522971685, 0.1315151838141469, 0.13383628972036773, 0.12588889357230962, 0.12958736047164102, 0.14306611587236498, 0.13447349778874915, 0.13603410931922869, 0.13597441950622782, 0.13478082271722142, 0.13868453702068198, 0.13247753079424449, 0.12993486637737023, 0.13534737377471356, 0.12873219606514463, 0.1334938581951021, 0.12981209601626806, 0.13305952891901512, 0.1398108017034374, 0.13446424129805826, 0.1268939443934307, 0.13070217270678988, 0.13616015361291853, 0.1410187714298452, 0.11299847585787876, 0.14286363882821285, 0.12446608039623563, 0.13017166091315205, 0.13143931172109585, 0.13891301267933867, 0.13085340604354456, 0.13196391516412836, 0.12546187075637916, 0.13154031147543999, 0.11993413660533557, 0.13094498933833185, 0.1285786674771423, 0.13565934208753141, 0.1282427045535256, 0.13372242776983412, 0.12463705092357895, 0.12936508569901436, 0.12271914555589253, 0.126922499582791, 0.13811155738759137, 0.13444448929651148, 0.12824839512112474, 0.1349147086418288, 0.12973108218295815, 0.1416900262927041, 0.1347246384059656, 0.13090039679666496, 0.1296764198149618, 0.12798907817948715, 0.13147538601323708, 0.1263629619330823, 0.12817729790016033, 0.13863018314761935, 0.1341933028120567, 0.12440057922309823, 0.13007588406013998, 0.128805207276562, 0.12095135694219593, 0.12736997629353355, 0.12924664041068987, 0.1295607769906438, 0.1268090862788015, 0.1382268155120344, 0.1293617589613495, 0.13150870111816348, 0.13778117106683277, 0.1275015829144074, 0.13247390507798823, 0.13289172586498152, 0.13120858025638224, 0.1280297419765655, 0.1367273850903154, 0.1284018972967236, 0.12991405807074863, 0.13044473548018481, 0.13629538062092209, 0.13058522079494791, 0.13028847585604827, 0.12684712496899353, 0.1360786771772826, 0.12594659409690012, 0.13344415749416763, 0.1328155704188987, 0.13231709412258624, 0.13328055965243069, 0.1303253596879178, 0.13153721040549501, 0.13146612670012192, 0.13221724136799104, 0.1322889760407586, 0.1342665393424982, 0.13260148920140988]"
29,"[0.135425442889006, 0.1352547807363669, 0.12556020703992496, 0.1305247876731717, 0.11821103778116154, 0.13319778932597437, 0.12462674986905971, 0.13440996597876972, 0.1300141082614085, 0.12279944239160429, 0.1311817250977612, 0.13648425765445824, 0.13698685930226218, 0.12297821831516513, 0.1368626798515495, 0.13217590025005024, 0.12895546540723876, 0.13003009947520136, 0.12649615553951107, 0.12736489323415187, 0.12733277611244795, 0.1278880405460246, 0.13278116150127794, 0.12708600463167316, 0.1361931918285102, 0.13495263779051903, 0.12003366782520673, 0.12391747834312856, 0.12775867063125262, 0.1353267117948875, 0.13132482843007, 0.1296820597074285, 0.1278144687578018, 0.13579999134438533, 0.13095948656039785, 0.13136154745951634, 0.13126638650290384, 0.13716647055967604, 0.12497877979467246, 0.13135741921437777, 0.13257765429377474, 0.13223809725228447, 0.13210094341361392, 0.13324378703716816, 0.12918744239992014, 0.12974490107982412, 0.13197147329663234, 0.12920435370367356, 0.1280939835513517, 0.12778660421331478, 0.13130930573273142, 0.13101972652610208, 0.13070323914033624, 0.12733544996649207, 0.1280488721726869, 0.13515584676617978, 0.13259381444337223, 0.13911039027773986, 0.1337495757304765, 0.13794149851852516, 0.12903518138670003, 0.12874698848939514, 0.13352751292668613, 0.1270232419166231, 0.12769515578943524, 0.13053686066477116, 0.13225234754788506, 0.13022097464239515, 0.1340387679452619, 0.12826087922115895, 0.12456772423690736, 0.13006077190464382, 0.1250225786805067, 0.13927928372060883, 0.12536683025823522, 0.13181161270636718, 0.12796592589923841, 0.13043756827879419, 0.1274471268984857, 0.1267050301570293, 0.13043262565406635, 0.12820013184721787, 0.12431836633456246, 0.1376557331987702, 0.13678756209565193, 0.12713329771220072, 0.12826947347536016, 0.13142340205671216, 0.13120060067887185, 0.1277263852022712, 0.13366729371152863, 0.13105638016298563, 0.12662126136096916, 0.13253801023074915, 0.12441688802105573, 0.1363125285775878, 0.13867622900162882, 0.13195773189631063, 0.12582983439314885, 0.12835559564102975]"
30,"[0.13495279299524726, 0.1372300342288387, 0.12832778898825972, 0.12574376161184458, 0.1255500811542754, 0.12802138708569924, 0.12698409350917148, 0.12428638572173463, 0.13421450165587565, 0.13606430926401758, 0.12642672545058045, 0.12701566346605075, 0.12570732369842372, 0.12828242156046296, 0.1311985178863895, 0.1344217114817165, 0.12790420351525372, 0.131715743696032, 0.12965206171503746, 0.1346629279611808, 0.13068747109597406, 0.13982478978741875, 0.13356578020336946, 0.12365805386800126, 0.1276287978506965, 0.1364419681348044, 0.12700555422757911, 0.14041801671490256, 0.13698234558527447, 0.1285344176529508, 0.12589210731396, 0.1274599089867916, 0.12014487756580672, 0.12379675193740647, 0.13133455023109683, 0.12696565601872267, 0.1326447004644678, 0.13192908748115104, 0.1324864574072449, 0.12708521136728657, 0.13377111096349364, 0.13129323798972153, 0.12728002286171347, 0.13044495954767987, 0.12629950469716433, 0.13579173163894234, 0.13327998011588083, 0.12929363518519046, 0.12394798819890869, 0.13553146953945502, 0.13144828616442958, 0.13707840275764596, 0.13012674026807813, 0.1322035396600917, 0.1314815738167807, 0.12283852738445797, 0.12410475501791766, 0.1346815128266719, 0.13250547137189267, 0.12847789537823243, 0.12357841676117869, 0.1247516906572331, 0.1262545268803791, 0.13296868425656708, 0.13366834291441018, 0.1276675503278142, 0.12707643489346643, 0.13089592328256888, 0.13565449092789728, 0.13820451556407723, 0.13079369829848697, 0.13607323289715947, 0.12033183437513753, 0.1319345306570941, 0.11939161628595829, 0.13669782404184935, 0.13653510385482803, 0.1233863770855551, 0.13557666650671413, 0.12994608099597482, 0.1269520632618459, 0.13612016485797035, 0.1215552997428434, 0.12069173310179836, 0.13209663021039988, 0.12915019629073485, 0.12823080014226315, 0.1321857533821875, 0.13259552290700757, 0.1365589620239318, 0.12775630538083557, 0.1262713044591619, 0.1251486317047962, 0.1304049673542147, 0.12462729579895565, 0.13019526576907203, 0.13046487143203286, 0.13797807564398443, 0.12346247742670538, 0.13341077585938957]"
31,"[0.12325973660753256, 0.1366335171665014, 0.13382088084604363, 0.13066992931206614, 0.13388363154554656, 0.1316638590600999, 0.13037582890373078, 0.1362890159742586, 0.12956832294233125, 0.13422596787117289, 0.13132130616088383, 0.12972248461742394, 0.12845022977343562, 0.13075022023088106, 0.12881786062212197, 0.1297291391679865, 0.13001021723395198, 0.13058022847814352, 0.13369051767254128, 0.12916131435843256, 0.12902785008124426, 0.13391560131970215, 0.1317122818767873, 0.12296692697301212, 0.13084034614132586, 0.12407509335587018, 0.13409781668968665, 0.13565026298969185, 0.12216380826927971, 0.13505808185183524, 0.13299258078990314, 0.13016673477853163, 0.1381001868234441, 0.13668054401736449, 0.1351211231517398, 0.12415996297611878, 0.13706856874015377, 0.12368701885374758, 0.13734780027355004, 0.12111780398109659, 0.13342349399924358, 0.13472055985686068, 0.1299426847954816, 0.13088100203453, 0.13631879711060763, 0.13221867140293925, 0.1305412738709512, 0.12859313277109743, 0.12648940576862, 0.1268691987841367, 0.13625721148858735, 0.1255476782890741, 0.1322999138346596, 0.12748252887920805, 0.12882715522357177, 0.1323460822841942, 0.13432343502631403, 0.1287044093479823, 0.1309302767184678, 0.1364568712959104, 0.13067008210550488, 0.13988080780403336, 0.12492964446456954, 0.1273752512022432, 0.1328073921462403, 0.13139186831865007, 0.13193484191859922, 0.13058398095682594, 0.1303947097982688, 0.128963519500015, 0.13049637405298967, 0.12476518380731738, 0.13219847730740503, 0.12857971407223173, 0.14098282680581944, 0.12973065467611494, 0.1345492099818034, 0.13273971658899036, 0.13116062271665554, 0.1215060676676007, 0.12438802889467038, 0.12454278618344239, 0.12909794725997145, 0.14129153813427892, 0.1374614487004046, 0.13259494135895245, 0.13081395369578666, 0.13420709002648018, 0.12556610624575695, 0.13686061544420453, 0.1304740572123965, 0.12953282223143323, 0.13529840416718203, 0.12851569215509825, 0.12698891661999084, 0.12673428136149414, 0.1290887673983097, 0.13217698656772597, 0.11704427628895782, 0.12616343469336533]"
32,"[0.12272261756481634, 0.12730475625178383, 0.13424747451456007, 0.12769223019789425, 0.1309116144902461, 0.12707597752789163, 0.12803616533744674, 0.12561395153903965, 0.13744610939771307, 0.13116159041845896, 0.1339621869701924, 0.1325572819872107, 0.1307261804250589, 0.13307254753972267, 0.13660791558271226, 0.13401169636089283, 0.13539897946882265, 0.1314768083291804, 0.13309322499108228, 0.12200940685525566, 0.12202595726572693, 0.1294749085324289, 0.13327731499517784, 0.1264794033077509, 0.13604869567226371, 0.13200641734931176, 0.1306900347544062, 0.13593449528668608, 0.13351688285106622, 0.12882662766038763, 0.13103363359203693, 0.1312630908796394, 0.13255965640499615, 0.1236666153024208, 0.13300191742639497, 0.13025975776674245, 0.13574771660471516, 0.13083024699163107, 0.13026357038689376, 0.13780823427426803, 0.1313224437537054, 0.1355054460209273, 0.1370756824203804, 0.13122598060486063, 0.13475028660822613, 0.12941217377823028, 0.13746884052378364, 0.13084776696539874, 0.14110359979482529, 0.11970958679110943, 0.1373155583232772, 0.13605299715143115, 0.12763558636350533, 0.1315839478081358, 0.12745163150418864, 0.12692410202060542, 0.12547614463752885, 0.13465911476356626, 0.12117636331503977, 0.12472039483587878, 0.12701039940909475, 0.1310902905591108, 0.1343880580829472, 0.13267950065281767, 0.11773093024405704, 0.12964362097887183, 0.1297652467646875, 0.12492540024169414, 0.1287047357761218, 0.1364065134730453, 0.12892404999709076, 0.1267566097780917, 0.12974602086602954, 0.1281210882043411, 0.12510147992271253, 0.1277355258530867, 0.1322819067705991, 0.13366067797333253, 0.1329665034020949, 0.12369729889914538, 0.13551725405586956, 0.13615600244756926, 0.13708473341350466, 0.1279775494848412, 0.1287525698193527, 0.12585150863357694, 0.12637247406085775, 0.1255682387451994, 0.12486504830828665, 0.13044844208396272, 0.1233035329412582, 0.1310215024306831, 0.1311803570467674, 0.13367982842910353, 0.1269794094687771, 0.13420995353165235, 0.13869704142030756, 0.1319804040540601, 0.13081116395841288, 0.1268119318194978]"
33,"[0.13075812639004683, 0.13690021273286937, 0.13035316662031, 0.12302977118136925, 0.1247913650136714, 0.12565834176008933, 0.12743558420759277, 0.12800053672644815, 0.1255408064642655, 0.13780130267393137, 0.14262791299283395, 0.1337657679327059, 0.13470656052024113, 0.12383285749652169, 0.14133839044143823, 0.126792978044461, 0.13979978090653059, 0.12293022536818873, 0.13851776184381964, 0.12829094647424985, 0.1318228941285346, 0.123562410761247, 0.1304367617461984, 0.1328902193611833, 0.13173345710674353, 0.13865662806996945, 0.12660688437364637, 0.137022821864014, 0.1314151716893078, 0.1317780242874959, 0.12821526822287788, 0.13160279974918426, 0.13021763644378517, 0.1322197063848377, 0.13664020658917927, 0.135385646022288, 0.1293047371724326, 0.13116537940618914, 0.13686379850658326, 0.1312005705634879, 0.13498542351511858, 0.13759038703085544, 0.1360413426937695, 0.13187883961659477, 0.127190634060329, 0.133618042566752, 0.1267732479208791, 0.13426321333415414, 0.138474342149556, 0.1300467158304922, 0.12201011424175602, 0.12728177424724035, 0.1360576770346394, 0.13123714427720704, 0.12880653259122446, 0.13113680341777523, 0.1275265335770104, 0.12090269157759409, 0.12516488114562754, 0.13000664459190706, 0.1291422995121665, 0.13147503895642002, 0.1318501374513916, 0.12519609972045012, 0.12402065242051766, 0.1259428542600734, 0.13013344178050362, 0.13129728861318934, 0.12751929142196589, 0.1336228152666246, 0.12383271319152014, 0.13310917153409407, 0.13522817227549938, 0.1305248255820218, 0.13481855848963853, 0.140555169926724, 0.1340124997252329, 0.12230103458838418, 0.12948366262913905, 0.13494359864619646, 0.127100298628129, 0.1323307373143278, 0.12993285737080768, 0.13653084077340452, 0.12670028807789271, 0.12803315190170003, 0.12772257531166448, 0.14168940443033304, 0.13195893195234884, 0.1437387151773899, 0.12366623903674373, 0.13340778052943314, 0.12595885320177466, 0.13620287316230142, 0.12549166285247193, 0.12651673178014808, 0.13229788374165855, 0.13235226448301496, 0.1267449201353277, 0.13863175857727594]"
34,"[0.1331656624863552, 0.13057207265864013, 0.14083772541157466, 0.12003982980073978, 0.13307526060507827, 0.11994399088625782, 0.13738429674108804, 0.12971588817243515, 0.12826508797141173, 0.1244017408417751, 0.12625018409682365, 0.13742396374377458, 0.1322674585946028, 0.12840401572204754, 0.1300468176367573, 0.12991434821790962, 0.1277855408550983, 0.12144307765990875, 0.12752675131331345, 0.13086186973989763, 0.13256404494424615, 0.1310146038030147, 0.13157115928426688, 0.13468824604434523, 0.13109303601340722, 0.1324921376888829, 0.13499403312742358, 0.12651414818193507, 0.1273953422761709, 0.1305703998303941, 0.1266321527188009, 0.1360567410374605, 0.13892793321088942, 0.13400778538300548, 0.13200861597345284, 0.13053795905751114, 0.12946759615155132, 0.1300564751082153, 0.12554358752070638, 0.14171155461337992, 0.12594261243226068, 0.13042967687867194, 0.13518462747191856, 0.13190954903448063, 0.13212919966025455, 0.1315556267049677, 0.13937790094634744, 0.13650576121132815, 0.13230066622668443, 0.12758637967893477, 0.1367499892959802, 0.1301925649725371, 0.1362849512630389, 0.13869499683280798, 0.12473222258693102, 0.12591819009247882, 0.12941238087803428, 0.13140691425812145, 0.13451255384591443, 0.1346305070683131, 0.135584477787174, 0.1370845211306606, 0.12241206845549255, 0.13290619577537033, 0.13599898678194838, 0.13954334599388685, 0.1314141866648245, 0.13000349809089637, 0.13446179468086375, 0.13062755589835195, 0.1259685258062301, 0.12265917989449145, 0.12436484819004497, 0.12818953538192687, 0.13032580508571492, 0.13338626798399933, 0.13707929915048958, 0.13607228184411052, 0.12678258476197454, 0.1303782647015169, 0.1298583383629546, 0.12876209027515675, 0.13703536343715297, 0.12482656340026567, 0.12988169288681364, 0.12890243814656946, 0.13146588629989062, 0.13462174458076342, 0.1281277330603637, 0.1270041338770729, 0.12883556424366244, 0.12995705445403144, 0.13198081918473795, 0.13275878619197395, 0.12752676586929815, 0.12518753477835745, 0.13309671463813533, 0.12998909993122765, 0.13533074269357062, 0.13249500497550779]"
35,"[0.12621384251690385, 0.1207332166250284, 0.12771394191554927, 0.12579484138085797, 0.1334296958668041, 0.1390861190393098, 0.12922599099349866, 0.13992050410431978, 0.13123855656435024, 0.126439649075516, 0.14373461512396732, 0.1382796125665065, 0.12767124509899494, 0.14114317958362213, 0.12477665725177033, 0.1204747121475451, 0.13448311087530387, 0.13267624870542236, 0.12533413551336534, 0.13600828596244371, 0.1339733605239456, 0.1436668362372416, 0.12895899167913577, 0.135792559868557, 0.12993314738124848, 0.13031049678588807, 0.13209339165448844, 0.12817648461122258, 0.12687385492815165, 0.13536713346216223, 0.1318912964019607, 0.13027203254312364, 0.1208286408300161, 0.13516236468169618, 0.1356118846521511, 0.13502545823826848, 0.12584968346433598, 0.13193918722814602, 0.13169357175027172, 0.1309303861800271, 0.13757665282605336, 0.1258441968034073, 0.14047119056822596, 0.131685255981942, 0.1369685258371836, 0.12903377246019737, 0.12942926596327012, 0.13488265724975818, 0.13124593341528681, 0.12313200584412559, 0.13441137889312138, 0.1395487972039005, 0.12736089039261048, 0.14274320464153406, 0.13673593934001893, 0.12775800524416894, 0.13904032032706928, 0.1293877769252442, 0.1307690587844777, 0.12580711947318932, 0.13228941983991085, 0.13372839506634765, 0.13837964590206286, 0.12988474946079018, 0.1310954621881637, 0.12463265408338205, 0.1380564658345801, 0.13152227298367042, 0.1334497129931808, 0.13456793699600145, 0.13802884417792785, 0.14356603910312202, 0.13574199159816874, 0.13052051537721496, 0.13802338331932887, 0.1272234316824793, 0.13666234812210068, 0.131766425671305, 0.13568265223004405, 0.13413431129597225, 0.13491495368294593, 0.13290738571447436, 0.12386929537978755, 0.12485007914864318, 0.13149173324628005, 0.13496990190949962, 0.12309976018679117, 0.13189338012873436, 0.1307060693589499, 0.12912363813952393, 0.13585058244557977, 0.13225234895223642, 0.1307330292525682, 0.1262499929331939, 0.13246383271456338, 0.1274514591204634, 0.1261227470101722, 0.1337226587869411, 0.13434580781880298, 0.140855233213234]"
36,"[0.14093058276571052, 0.13801551749702168, 0.1363101082078249, 0.13638859322405017, 0.1393365103348819, 0.13213921407479803, 0.1314580121258719, 0.13595315478173942, 0.1378225724061287, 0.1378635705663348, 0.1251489972394708, 0.13333748299447268, 0.13137515208739262, 0.1388084970040286, 0.1286909533901551, 0.14119550433045766, 0.13657899033394177, 0.13510583321980243, 0.133334695069433, 0.1363118813397074, 0.12785871351480663, 0.13500566852399967, 0.1309502573973761, 0.1368258204482284, 0.12080452805023628, 0.13139337698311349, 0.136198827492233, 0.1322565052144665, 0.13656611988721612, 0.13369634313486567, 0.1384872173260912, 0.13359933155141754, 0.1317080799211964, 0.12748686759560515, 0.13963894454579667, 0.13999256177141464, 0.1364360298105616, 0.1329385270076575, 0.13675534221415267, 0.14012521033023, 0.13506773841064565, 0.13110567107394056, 0.13739271409618486, 0.13735232449031928, 0.14152356148650932, 0.1388946860410473, 0.13446481354397882, 0.13630143960148122, 0.12720042336271367, 0.1344695312486434, 0.126020268458872, 0.13763556460668147, 0.1323993227039241, 0.13766355938024502, 0.13922602333674788, 0.12489671937768121, 0.13205245079344866, 0.13811202181906715, 0.13329859998082777, 0.13342287896462504, 0.13343220408845577, 0.13905585713835467, 0.1331740870777085, 0.14171161884177497, 0.12396085285144762, 0.13163125314979768, 0.1372277869614221, 0.13184870797286447, 0.13398409676991715, 0.13535529788907844, 0.1268467330997886, 0.12445638351844754, 0.13402772095481263, 0.1339711719729531, 0.1327802250503228, 0.14011450746308998, 0.13173837758019472, 0.13250121432135353, 0.13459911545071643, 0.13350387181761833, 0.1305965896169192, 0.1325740097159393, 0.1307408750229936, 0.13414770203055057, 0.1400575110391436, 0.13550633533686268, 0.12759523048149254, 0.13342040609093753, 0.14007931849173694, 0.13480288547687946, 0.1347338719723807, 0.12783066401377524, 0.12699651265251122, 0.14121875459886926, 0.1331665113941091, 0.131491995841456, 0.1356939156331127, 0.13468962610340834, 0.13133257241804286, 0.14091387482635556]"
